Measurements,Values
file_name,im19723.jpg
k,2000
Input labels,indoor
Processing time (secs),3.17
Searching time (secs),0.222
Correct images,970
Correct images in DB,8313
Precision@K,0.485
Recall@K,0.117
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.659
