Measurements,Values
file_name,im12739.jpg
k,10000
Input labels,car; female; people; plant_life; sky; transport; tree
Processing time (secs),3.874
Searching time (secs),0.676
Correct images,1348
Correct images in DB,2375
Precision@K,0.135
Recall@K,0.568
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.256
