Measurements,Values
file_name,im10125.jpg
k,10
Input labels,female; male; people; plant_life; sky; sunset; tree
Processing time (secs),2.281
Searching time (secs),0.006
Correct images,9
Correct images in DB,3155
Precision@K,0.9
Recall@K,0.003
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
