Measurements,Values
file_name,im15005.jpg
k,2000
Input labels,clouds; night; sky; structures; sunset
Processing time (secs),3.112
Searching time (secs),0.197
Correct images,1448
Correct images in DB,3769
Precision@K,0.724
Recall@K,0.384
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.815
