Measurements,Values
file_name,im619.jpg
k,6000
Input labels,clouds; people; plant_life; sky; structures; tree
Processing time (secs),3.019
Searching time (secs),0.475
Correct images,3251
Correct images in DB,7152
Precision@K,0.542
Recall@K,0.455
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.705
