Measurements,Values
file_name,im115.jpg
k,2000
Input labels,plant_life; river; tree; water
Processing time (secs),3.046
Searching time (secs),0.113
Correct images,616
Correct images in DB,5513
Precision@K,0.308
Recall@K,0.112
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.361
