Measurements,Values
file_name,im1470.jpg
k,2000
Input labels,animals; dog; indoor
Processing time (secs),3.067
Searching time (secs),0.137
Correct images,314
Correct images in DB,1393
Precision@K,0.157
Recall@K,0.225
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.372
