Measurements,Values
file_name,im115.jpg
k,6000
Input labels,plant_life; river; tree; water
Processing time (secs),3.117
Searching time (secs),0.39
Correct images,1526
Correct images in DB,5513
Precision@K,0.254
Recall@K,0.277
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.314
