Measurements,Values
file_name,im24855.jpg
k,8000
Input labels,animals; food; indoor
Processing time (secs),3.407
Searching time (secs),0.629
Correct images,1076
Correct images in DB,1659
Precision@K,0.135
Recall@K,0.649
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.311
