Measurements,Values
file_name,im483.jpg
k,10
Input labels,female; indoor; male; people
Processing time (secs),3.065
Searching time (secs),0.015
Correct images,10
Correct images in DB,10135
Precision@K,1.0
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
