Measurements,Values
file_name,im20341.jpg
k,500
Input labels,night; sky
Processing time (secs),3.149
Searching time (secs),0.083
Correct images,263
Correct images in DB,9482
Precision@K,0.526
Recall@K,0.028
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.713
