Measurements,Values
file_name,im24855.jpg
k,6000
Input labels,animals; food; indoor
Processing time (secs),3.231
Searching time (secs),0.465
Correct images,899
Correct images in DB,1659
Precision@K,0.15
Recall@K,0.542
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.341
