Measurements,Values
file_name,im38.jpg
k,10000
Input labels,clouds; lake; sky; water
Processing time (secs),3.045
Searching time (secs),0.643
Correct images,2702
Correct images in DB,4779
Precision@K,0.27
Recall@K,0.565
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.449
