Measurements,Values
file_name,im10450.jpg
k,10000
Input labels,plant_life; structures
Processing time (secs),2.201
Searching time (secs),0.4
Correct images,5900
Correct images in DB,14810
Precision@K,0.59
Recall@K,0.398
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.602
