Measurements,Values
file_name,im483.jpg
k,4000
Input labels,female; indoor; male; people
Processing time (secs),3.184
Searching time (secs),0.238
Correct images,2760
Correct images in DB,10135
Precision@K,0.69
Recall@K,0.272
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.786
