Measurements,Values
file_name,im12739.jpg
k,10
Input labels,car; female; people; plant_life; sky; transport; tree
Processing time (secs),3.41
Searching time (secs),0.008
Correct images,4
Correct images in DB,2375
Precision@K,0.4
Recall@K,0.002
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.593
