Measurements,Values
file_name,im38.jpg
k,10
Input labels,clouds; lake; sky; water
Processing time (secs),3.719
Searching time (secs),0.007
Correct images,6
Correct images in DB,4779
Precision@K,0.6
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.958
