Measurements,Values
file_name,im10125.jpg
k,6000
Input labels,female; male; people; plant_life; sky; sunset; tree
Processing time (secs),2.131
Searching time (secs),0.266
Correct images,1610
Correct images in DB,3155
Precision@K,0.268
Recall@K,0.51
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.443
