Measurements,Values
file_name,im20341.jpg
k,10
Input labels,night; sky
Processing time (secs),3.48
Searching time (secs),0.01
Correct images,10
Correct images in DB,9482
Precision@K,1.0
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
