Measurements,Values
file_name,im19723.jpg
k,10
Input labels,indoor
Processing time (secs),3.378
Searching time (secs),0.008
Correct images,9
Correct images in DB,8313
Precision@K,0.9
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.977
