Measurements,Values
file_name,im87.jpg
k,10000
Input labels,flower; plant_life
Processing time (secs),3.184
Searching time (secs),0.962
Correct images,4461
Correct images in DB,8763
Precision@K,0.446
Recall@K,0.509
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.67
