Measurements,Values
file_name,im19723.jpg
k,4000
Input labels,indoor
Processing time (secs),3.304
Searching time (secs),0.378
Correct images,1612
Correct images in DB,8313
Precision@K,0.403
Recall@K,0.194
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.571
