Measurements,Values
file_name,im20341.jpg
k,4000
Input labels,night; sky
Processing time (secs),3.158
Searching time (secs),0.29
Correct images,1754
Correct images in DB,9482
Precision@K,0.439
Recall@K,0.185
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.492
