Measurements,Values
file_name,im196.jpg
k,2000
Input labels,clouds; sea; sky; transport; water
Processing time (secs),3.137
Searching time (secs),0.106
Correct images,302
Correct images in DB,2234
Precision@K,0.151
Recall@K,0.135
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.239
