Measurements,Values
file_name,im87.jpg
k,4000
Input labels,flower; plant_life
Processing time (secs),3.284
Searching time (secs),0.303
Correct images,2281
Correct images in DB,8763
Precision@K,0.57
Recall@K,0.26
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.831
