Measurements,Values
file_name,im24979.jpg
k,2000
Input labels,female; male; night; people; plant_life; structures; transport; tree
Processing time (secs),3.26
Searching time (secs),0.177
Correct images,732
Correct images in DB,4156
Precision@K,0.366
Recall@K,0.176
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.469
