Measurements,Values
file_name,im12.jpg
k,6000
Input labels,female; indoor; people; portrait
Processing time (secs),3.308
Searching time (secs),0.415
Correct images,2864
Correct images in DB,8574
Precision@K,0.477
Recall@K,0.334
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.734
