Measurements,Values
file_name,im87.jpg
k,8000
Input labels,flower; plant_life
Processing time (secs),2.963
Searching time (secs),0.608
Correct images,3782
Correct images in DB,8763
Precision@K,0.473
Recall@K,0.432
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.708
