Measurements,Values
file_name,im196.jpg
k,6000
Input labels,clouds; sea; sky; transport; water
Processing time (secs),3.0
Searching time (secs),0.41
Correct images,883
Correct images in DB,2234
Precision@K,0.147
Recall@K,0.395
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.178
