Measurements,Values
file_name,im301.jpg
k,6000
Input labels,indoor; male; people; portrait
Processing time (secs),3.047
Searching time (secs),0.432
Correct images,1349
Correct images in DB,9187
Precision@K,0.225
Recall@K,0.147
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.224
