Measurements,Values
file_name,im15005.jpg
k,10
Input labels,clouds; night; sky; structures; sunset
Processing time (secs),3.798
Searching time (secs),0.004
Correct images,10
Correct images in DB,3769
Precision@K,1.0
Recall@K,0.003
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
