Measurements,Values
file_name,im46.jpg
k,10000
Input labels,people
Processing time (secs),3.255
Searching time (secs),0.597
Correct images,4272
Correct images in DB,10377
Precision@K,0.427
Recall@K,0.412
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.489
