Measurements,Values
file_name,im483.jpg
k,6000
Input labels,female; indoor; male; people
Processing time (secs),3.167
Searching time (secs),0.421
Correct images,3845
Correct images in DB,10135
Precision@K,0.641
Recall@K,0.379
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.752
