Measurements,Values
file_name,im46.jpg
k,10
Input labels,people
Processing time (secs),3.042
Searching time (secs),0.009
Correct images,8
Correct images in DB,10377
Precision@K,0.8
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.782
