Measurements,Values
file_name,im12.jpg
k,10000
Input labels,female; indoor; people; portrait
Processing time (secs),3.52
Searching time (secs),0.631
Correct images,4073
Correct images in DB,8574
Precision@K,0.407
Recall@K,0.475
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.645
