Measurements,Values
file_name,im248.jpg
k,10
Input labels,animals; indoor
Processing time (secs),3.038
Searching time (secs),0.02
Correct images,10
Correct images in DB,10555
Precision@K,1.0
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
