Measurements,Values
file_name,im10125.jpg
k,10000
Input labels,female; male; people; plant_life; sky; sunset; tree
Processing time (secs),2.66
Searching time (secs),0.412
Correct images,2036
Correct images in DB,3155
Precision@K,0.204
Recall@K,0.645
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.4
