Measurements,Values
file_name,im1470.jpg
k,4000
Input labels,animals; dog; indoor
Processing time (secs),3.234
Searching time (secs),0.212
Correct images,502
Correct images in DB,1393
Precision@K,0.126
Recall@K,0.36
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.285
