Measurements,Values
file_name,im196.jpg
k,500
Input labels,clouds; sea; sky; transport; water
Processing time (secs),3.534
Searching time (secs),0.084
Correct images,97
Correct images in DB,2234
Precision@K,0.194
Recall@K,0.043
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.399
