Measurements,Values
file_name,im1470.jpg
k,10
Input labels,animals; dog; indoor
Processing time (secs),3.512
Searching time (secs),0.012
Correct images,10
Correct images in DB,1393
Precision@K,1.0
Recall@K,0.007
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
