Measurements,Values
file_name,im301.jpg
k,4000
Input labels,indoor; male; people; portrait
Processing time (secs),3.106
Searching time (secs),0.281
Correct images,833
Correct images in DB,9187
Precision@K,0.208
Recall@K,0.091
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.229
