Measurements,Values
file_name,im12739.jpg
k,6000
Input labels,car; female; people; plant_life; sky; transport; tree
Processing time (secs),3.25
Searching time (secs),0.42
Correct images,1008
Correct images in DB,2375
Precision@K,0.168
Recall@K,0.424
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.284
