Measurements,Values
file_name,im12739.jpg
k,8000
Input labels,car; female; people; plant_life; sky; transport; tree
Processing time (secs),3.271
Searching time (secs),0.591
Correct images,1184
Correct images in DB,2375
Precision@K,0.148
Recall@K,0.499
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.27
