Measurements,Values
file_name,im24774.jpg
k,10000
Input labels,animals; bird; sky; structures
Processing time (secs),3.133
Searching time (secs),0.735
Correct images,2964
Correct images in DB,6178
Precision@K,0.296
Recall@K,0.48
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.344
