Measurements,Values
file_name,im24774.jpg
k,10
Input labels,animals; bird; sky; structures
Processing time (secs),3.062
Searching time (secs),0.01
Correct images,10
Correct images in DB,6178
Precision@K,1.0
Recall@K,0.002
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
