Measurements,Values
file_name,im10125.jpg
k,2000
Input labels,female; male; people; plant_life; sky; sunset; tree
Processing time (secs),2.092
Searching time (secs),0.092
Correct images,809
Correct images in DB,3155
Precision@K,0.405
Recall@K,0.256
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.545
