Measurements,Values
file_name,im19723.jpg
k,10000
Input labels,indoor
Processing time (secs),3.318
Searching time (secs),0.565
Correct images,3566
Correct images in DB,8313
Precision@K,0.357
Recall@K,0.429
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.461
