Measurements,Values
file_name,im24979.jpg
k,6000
Input labels,female; male; night; people; plant_life; structures; transport; tree
Processing time (secs),3.354
Searching time (secs),0.353
Correct images,1678
Correct images in DB,4156
Precision@K,0.28
Recall@K,0.404
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.385
