Measurements,Values
file_name,im10125.jpg
k,500
Input labels,female; male; people; plant_life; sky; sunset; tree
Processing time (secs),2.047
Searching time (secs),0.039
Correct images,278
Correct images in DB,3155
Precision@K,0.556
Recall@K,0.088
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.68
