Measurements,Values
file_name,im248.jpg
k,4000
Input labels,animals; indoor
Processing time (secs),2.978
Searching time (secs),0.283
Correct images,2356
Correct images in DB,10555
Precision@K,0.589
Recall@K,0.223
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.721
