Measurements,Values
file_name,im46.jpg
k,2000
Input labels,people
Processing time (secs),3.642
Searching time (secs),0.148
Correct images,1042
Correct images in DB,10377
Precision@K,0.521
Recall@K,0.1
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.576
