Measurements,Values
file_name,im483.jpg
k,8000
Input labels,female; indoor; male; people
Processing time (secs),3.527
Searching time (secs),0.563
Correct images,4821
Correct images in DB,10135
Precision@K,0.603
Recall@K,0.476
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.725
