Measurements,Values
file_name,im38.jpg
k,4000
Input labels,clouds; lake; sky; water
Processing time (secs),3.199
Searching time (secs),0.301
Correct images,1390
Correct images in DB,4779
Precision@K,0.347
Recall@K,0.291
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.598
