Measurements,Values
file_name,im12739.jpg
k,4000
Input labels,car; female; people; plant_life; sky; transport; tree
Processing time (secs),3.265
Searching time (secs),0.314
Correct images,762
Correct images in DB,2375
Precision@K,0.191
Recall@K,0.321
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.307
