Measurements,Values
file_name,im115.jpg
k,10
Input labels,plant_life; river; tree; water
Processing time (secs),3.24
Searching time (secs),0.011
Correct images,7
Correct images in DB,5513
Precision@K,0.7
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.759
