Measurements,Values
file_name,im24855.jpg
k,4000
Input labels,animals; food; indoor
Processing time (secs),3.064
Searching time (secs),0.308
Correct images,746
Correct images in DB,1659
Precision@K,0.186
Recall@K,0.45
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.375
