Measurements,Values
file_name,im115.jpg
k,4000
Input labels,plant_life; river; tree; water
Processing time (secs),3.069
Searching time (secs),0.196
Correct images,1102
Correct images in DB,5513
Precision@K,0.276
Recall@K,0.2
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.33
