Measurements,Values
file_name,im24855.jpg
k,500
Input labels,animals; food; indoor
Processing time (secs),3.192
Searching time (secs),0.085
Correct images,184
Correct images in DB,1659
Precision@K,0.368
Recall@K,0.111
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.57
