Measurements,Values
file_name,im483.jpg
k,500
Input labels,female; indoor; male; people
Processing time (secs),3.051
Searching time (secs),0.054
Correct images,435
Correct images in DB,10135
Precision@K,0.87
Recall@K,0.043
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.902
