Measurements,Values
file_name,im24774.jpg
k,4000
Input labels,animals; bird; sky; structures
Processing time (secs),3.595
Searching time (secs),0.28
Correct images,1230
Correct images in DB,6178
Precision@K,0.307
Recall@K,0.199
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.363
