Measurements,Values
file_name,im87.jpg
k,2000
Input labels,flower; plant_life
Processing time (secs),3.006
Searching time (secs),0.133
Correct images,1411
Correct images in DB,8763
Precision@K,0.706
Recall@K,0.161
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.917
