Measurements,Values
file_name,im619.jpg
k,10
Input labels,clouds; people; plant_life; sky; structures; tree
Processing time (secs),3.573
Searching time (secs),0.007
Correct images,9
Correct images in DB,7152
Precision@K,0.9
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),1.0
