Measurements,Values
file_name,im248.jpg
k,500
Input labels,animals; indoor
Processing time (secs),3.04
Searching time (secs),0.081
Correct images,407
Correct images in DB,10555
Precision@K,0.814
Recall@K,0.039
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.901
