Measurements,Values
file_name,im115.jpg
k,500
Input labels,plant_life; river; tree; water
Processing time (secs),3.177
Searching time (secs),0.077
Correct images,180
Correct images in DB,5513
Precision@K,0.36
Recall@K,0.033
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.431
